prompt_id,prompt_text,client_name,city,service,demographic,intent
1,Who is the best Invisalign provider in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,teens,with payment plans
2,Where can I find Invisalign for teens in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,teens,with payment plans
3,Affordable Invisalign in Memphis for someone with payment plans.,Saddle Creek Orthodontics,Memphis,Invisalign,teens,with payment plans
4,Looking for Invisalign options in Memphis that are with payment plans.,Saddle Creek Orthodontics,Memphis,Invisalign,teens,with payment plans
5,What are the top-rated Invisalign options in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,teens,with payment plans
6,Who is the best Invisalign provider in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,teens,affordable
7,Where can I find Invisalign for teens in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,teens,affordable
8,Affordable Invisalign in Memphis for someone affordable.,Saddle Creek Orthodontics,Memphis,Invisalign,teens,affordable
9,Looking for Invisalign options in Memphis that are affordable.,Saddle Creek Orthodontics,Memphis,Invisalign,teens,affordable
10,What are the top-rated Invisalign options in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,teens,affordable
11,Who is the best Invisalign provider in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,teens,available this month
12,Where can I find Invisalign for teens in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,teens,available this month
13,Affordable Invisalign in Memphis for someone available this month.,Saddle Creek Orthodontics,Memphis,Invisalign,teens,available this month
14,Looking for Invisalign options in Memphis that are available this month.,Saddle Creek Orthodontics,Memphis,Invisalign,teens,available this month
15,What are the top-rated Invisalign options in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,teens,available this month
16,Who is the best Invisalign provider in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,adults,with payment plans
17,Where can I find Invisalign for adults in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,adults,with payment plans
18,Affordable Invisalign in Memphis for someone with payment plans.,Saddle Creek Orthodontics,Memphis,Invisalign,adults,with payment plans
19,Looking for Invisalign options in Memphis that are with payment plans.,Saddle Creek Orthodontics,Memphis,Invisalign,adults,with payment plans
20,What are the top-rated Invisalign options in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,adults,with payment plans
21,Who is the best Invisalign provider in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,adults,affordable
22,Where can I find Invisalign for adults in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,adults,affordable
23,Affordable Invisalign in Memphis for someone affordable.,Saddle Creek Orthodontics,Memphis,Invisalign,adults,affordable
24,Looking for Invisalign options in Memphis that are affordable.,Saddle Creek Orthodontics,Memphis,Invisalign,adults,affordable
25,What are the top-rated Invisalign options in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,adults,affordable
26,Who is the best Invisalign provider in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,adults,available this month
27,Where can I find Invisalign for adults in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,adults,available this month
28,Affordable Invisalign in Memphis for someone available this month.,Saddle Creek Orthodontics,Memphis,Invisalign,adults,available this month
29,Looking for Invisalign options in Memphis that are available this month.,Saddle Creek Orthodontics,Memphis,Invisalign,adults,available this month
30,What are the top-rated Invisalign options in Memphis?,Saddle Creek Orthodontics,Memphis,Invisalign,adults,available this month
31,Who is the best Braces provider in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,teens,with payment plans
32,Where can I find Braces for teens in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,teens,with payment plans
33,Affordable Braces in Memphis for someone with payment plans.,Saddle Creek Orthodontics,Memphis,Braces,teens,with payment plans
34,Looking for Braces options in Memphis that are with payment plans.,Saddle Creek Orthodontics,Memphis,Braces,teens,with payment plans
35,What are the top-rated Braces options in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,teens,with payment plans
36,Who is the best Braces provider in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,teens,affordable
37,Where can I find Braces for teens in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,teens,affordable
38,Affordable Braces in Memphis for someone affordable.,Saddle Creek Orthodontics,Memphis,Braces,teens,affordable
39,Looking for Braces options in Memphis that are affordable.,Saddle Creek Orthodontics,Memphis,Braces,teens,affordable
40,What are the top-rated Braces options in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,teens,affordable
41,Who is the best Braces provider in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,teens,available this month
42,Where can I find Braces for teens in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,teens,available this month
43,Affordable Braces in Memphis for someone available this month.,Saddle Creek Orthodontics,Memphis,Braces,teens,available this month
44,Looking for Braces options in Memphis that are available this month.,Saddle Creek Orthodontics,Memphis,Braces,teens,available this month
45,What are the top-rated Braces options in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,teens,available this month
46,Who is the best Braces provider in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,adults,with payment plans
47,Where can I find Braces for adults in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,adults,with payment plans
48,Affordable Braces in Memphis for someone with payment plans.,Saddle Creek Orthodontics,Memphis,Braces,adults,with payment plans
49,Looking for Braces options in Memphis that are with payment plans.,Saddle Creek Orthodontics,Memphis,Braces,adults,with payment plans
50,What are the top-rated Braces options in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,adults,with payment plans
51,Who is the best Braces provider in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,adults,affordable
52,Where can I find Braces for adults in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,adults,affordable
53,Affordable Braces in Memphis for someone affordable.,Saddle Creek Orthodontics,Memphis,Braces,adults,affordable
54,Looking for Braces options in Memphis that are affordable.,Saddle Creek Orthodontics,Memphis,Braces,adults,affordable
55,What are the top-rated Braces options in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,adults,affordable
56,Who is the best Braces provider in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,adults,available this month
57,Where can I find Braces for adults in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,adults,available this month
58,Affordable Braces in Memphis for someone available this month.,Saddle Creek Orthodontics,Memphis,Braces,adults,available this month
59,Looking for Braces options in Memphis that are available this month.,Saddle Creek Orthodontics,Memphis,Braces,adults,available this month
60,What are the top-rated Braces options in Memphis?,Saddle Creek Orthodontics,Memphis,Braces,adults,available this month
61,Who is the best Retainers provider in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,teens,with payment plans
62,Where can I find Retainers for teens in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,teens,with payment plans
63,Affordable Retainers in Memphis for someone with payment plans.,Saddle Creek Orthodontics,Memphis,Retainers,teens,with payment plans
64,Looking for Retainers options in Memphis that are with payment plans.,Saddle Creek Orthodontics,Memphis,Retainers,teens,with payment plans
65,What are the top-rated Retainers options in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,teens,with payment plans
66,Who is the best Retainers provider in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,teens,affordable
67,Where can I find Retainers for teens in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,teens,affordable
68,Affordable Retainers in Memphis for someone affordable.,Saddle Creek Orthodontics,Memphis,Retainers,teens,affordable
69,Looking for Retainers options in Memphis that are affordable.,Saddle Creek Orthodontics,Memphis,Retainers,teens,affordable
70,What are the top-rated Retainers options in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,teens,affordable
71,Who is the best Retainers provider in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,teens,available this month
72,Where can I find Retainers for teens in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,teens,available this month
73,Affordable Retainers in Memphis for someone available this month.,Saddle Creek Orthodontics,Memphis,Retainers,teens,available this month
74,Looking for Retainers options in Memphis that are available this month.,Saddle Creek Orthodontics,Memphis,Retainers,teens,available this month
75,What are the top-rated Retainers options in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,teens,available this month
76,Who is the best Retainers provider in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,adults,with payment plans
77,Where can I find Retainers for adults in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,adults,with payment plans
78,Affordable Retainers in Memphis for someone with payment plans.,Saddle Creek Orthodontics,Memphis,Retainers,adults,with payment plans
79,Looking for Retainers options in Memphis that are with payment plans.,Saddle Creek Orthodontics,Memphis,Retainers,adults,with payment plans
80,What are the top-rated Retainers options in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,adults,with payment plans
81,Who is the best Retainers provider in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,adults,affordable
82,Where can I find Retainers for adults in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,adults,affordable
83,Affordable Retainers in Memphis for someone affordable.,Saddle Creek Orthodontics,Memphis,Retainers,adults,affordable
84,Looking for Retainers options in Memphis that are affordable.,Saddle Creek Orthodontics,Memphis,Retainers,adults,affordable
85,What are the top-rated Retainers options in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,adults,affordable
86,Who is the best Retainers provider in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,adults,available this month
87,Where can I find Retainers for adults in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,adults,available this month
88,Affordable Retainers in Memphis for someone available this month.,Saddle Creek Orthodontics,Memphis,Retainers,adults,available this month
89,Looking for Retainers options in Memphis that are available this month.,Saddle Creek Orthodontics,Memphis,Retainers,adults,available this month
90,What are the top-rated Retainers options in Memphis?,Saddle Creek Orthodontics,Memphis,Retainers,adults,available this month
91,Who is the best Veneers provider in Austin?,Bright Smiles Dental,Austin,Veneers,adults,without insurance
92,Where can I find Veneers for adults in Austin?,Bright Smiles Dental,Austin,Veneers,adults,without insurance
93,Affordable Veneers in Austin for someone without insurance.,Bright Smiles Dental,Austin,Veneers,adults,without insurance
94,Looking for Veneers options in Austin that are without insurance.,Bright Smiles Dental,Austin,Veneers,adults,without insurance
95,What are the top-rated Veneers options in Austin?,Bright Smiles Dental,Austin,Veneers,adults,without insurance
96,Who is the best Veneers provider in Austin?,Bright Smiles Dental,Austin,Veneers,adults,affordable
97,Where can I find Veneers for adults in Austin?,Bright Smiles Dental,Austin,Veneers,adults,affordable
98,Affordable Veneers in Austin for someone affordable.,Bright Smiles Dental,Austin,Veneers,adults,affordable
99,Looking for Veneers options in Austin that are affordable.,Bright Smiles Dental,Austin,Veneers,adults,affordable
100,What are the top-rated Veneers options in Austin?,Bright Smiles Dental,Austin,Veneers,adults,affordable
101,Who is the best Veneers provider in Austin?,Bright Smiles Dental,Austin,Veneers,adults,available this month
102,Where can I find Veneers for adults in Austin?,Bright Smiles Dental,Austin,Veneers,adults,available this month
103,Affordable Veneers in Austin for someone available this month.,Bright Smiles Dental,Austin,Veneers,adults,available this month
104,Looking for Veneers options in Austin that are available this month.,Bright Smiles Dental,Austin,Veneers,adults,available this month
105,What are the top-rated Veneers options in Austin?,Bright Smiles Dental,Austin,Veneers,adults,available this month
106,Who is the best Teeth Whitening provider in Austin?,Bright Smiles Dental,Austin,Teeth Whitening,adults,without insurance
107,Where can I find Teeth Whitening for adults in Austin?,Bright Smiles Dental,Austin,Teeth Whitening,adults,without insurance
108,Affordable Teeth Whitening in Austin for someone without insurance.,Bright Smiles Dental,Austin,Teeth Whitening,adults,without insurance
109,Looking for Teeth Whitening options in Austin that are without insurance.,Bright Smiles Dental,Austin,Teeth Whitening,adults,without insurance
110,What are the top-rated Teeth Whitening options in Austin?,Bright Smiles Dental,Austin,Teeth Whitening,adults,without insurance
111,Who is the best Teeth Whitening provider in Austin?,Bright Smiles Dental,Austin,Teeth Whitening,adults,affordable
112,Where can I find Teeth Whitening for adults in Austin?,Bright Smiles Dental,Austin,Teeth Whitening,adults,affordable
113,Affordable Teeth Whitening in Austin for someone affordable.,Bright Smiles Dental,Austin,Teeth Whitening,adults,affordable
114,Looking for Teeth Whitening options in Austin that are affordable.,Bright Smiles Dental,Austin,Teeth Whitening,adults,affordable
115,What are the top-rated Teeth Whitening options in Austin?,Bright Smiles Dental,Austin,Teeth Whitening,adults,affordable
116,Who is the best Teeth Whitening provider in Austin?,Bright Smiles Dental,Austin,Teeth Whitening,adults,available this month
117,Where can I find Teeth Whitening for adults in Austin?,Bright Smiles Dental,Austin,Teeth Whitening,adults,available this month
118,Affordable Teeth Whitening in Austin for someone available this month.,Bright Smiles Dental,Austin,Teeth Whitening,adults,available this month
119,Looking for Teeth Whitening options in Austin that are available this month.,Bright Smiles Dental,Austin,Teeth Whitening,adults,available this month
120,What are the top-rated Teeth Whitening options in Austin?,Bright Smiles Dental,Austin,Teeth Whitening,adults,available this month
121,Who is the best Cleaning provider in Austin?,Bright Smiles Dental,Austin,Cleaning,adults,without insurance
122,Where can I find Cleaning for adults in Austin?,Bright Smiles Dental,Austin,Cleaning,adults,without insurance
123,Affordable Cleaning in Austin for someone without insurance.,Bright Smiles Dental,Austin,Cleaning,adults,without insurance
124,Looking for Cleaning options in Austin that are without insurance.,Bright Smiles Dental,Austin,Cleaning,adults,without insurance
125,What are the top-rated Cleaning options in Austin?,Bright Smiles Dental,Austin,Cleaning,adults,without insurance
126,Who is the best Cleaning provider in Austin?,Bright Smiles Dental,Austin,Cleaning,adults,affordable
127,Where can I find Cleaning for adults in Austin?,Bright Smiles Dental,Austin,Cleaning,adults,affordable
128,Affordable Cleaning in Austin for someone affordable.,Bright Smiles Dental,Austin,Cleaning,adults,affordable
129,Looking for Cleaning options in Austin that are affordable.,Bright Smiles Dental,Austin,Cleaning,adults,affordable
130,What are the top-rated Cleaning options in Austin?,Bright Smiles Dental,Austin,Cleaning,adults,affordable
131,Who is the best Cleaning provider in Austin?,Bright Smiles Dental,Austin,Cleaning,adults,available this month
132,Where can I find Cleaning for adults in Austin?,Bright Smiles Dental,Austin,Cleaning,adults,available this month
133,Affordable Cleaning in Austin for someone available this month.,Bright Smiles Dental,Austin,Cleaning,adults,available this month
134,Looking for Cleaning options in Austin that are available this month.,Bright Smiles Dental,Austin,Cleaning,adults,available this month
135,What are the top-rated Cleaning options in Austin?,Bright Smiles Dental,Austin,Cleaning,adults,available this month
136,Who is the best Pediatric Dentistry provider in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,with payment plans
137,Where can I find Pediatric Dentistry for kids in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,with payment plans
138,Affordable Pediatric Dentistry in San Diego for someone with payment plans.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,with payment plans
139,Looking for Pediatric Dentistry options in San Diego that are with payment plans.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,with payment plans
140,What are the top-rated Pediatric Dentistry options in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,with payment plans
141,Who is the best Pediatric Dentistry provider in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,affordable
142,Where can I find Pediatric Dentistry for kids in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,affordable
143,Affordable Pediatric Dentistry in San Diego for someone affordable.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,affordable
144,Looking for Pediatric Dentistry options in San Diego that are affordable.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,affordable
145,What are the top-rated Pediatric Dentistry options in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,affordable
146,Who is the best Pediatric Dentistry provider in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,available this month
147,Where can I find Pediatric Dentistry for kids in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,available this month
148,Affordable Pediatric Dentistry in San Diego for someone available this month.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,available this month
149,Looking for Pediatric Dentistry options in San Diego that are available this month.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,available this month
150,What are the top-rated Pediatric Dentistry options in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,kids,available this month
151,Who is the best Pediatric Dentistry provider in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,with payment plans
152,Where can I find Pediatric Dentistry for teens in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,with payment plans
153,Affordable Pediatric Dentistry in San Diego for someone with payment plans.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,with payment plans
154,Looking for Pediatric Dentistry options in San Diego that are with payment plans.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,with payment plans
155,What are the top-rated Pediatric Dentistry options in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,with payment plans
156,Who is the best Pediatric Dentistry provider in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,affordable
157,Where can I find Pediatric Dentistry for teens in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,affordable
158,Affordable Pediatric Dentistry in San Diego for someone affordable.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,affordable
159,Looking for Pediatric Dentistry options in San Diego that are affordable.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,affordable
160,What are the top-rated Pediatric Dentistry options in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,affordable
161,Who is the best Pediatric Dentistry provider in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,available this month
162,Where can I find Pediatric Dentistry for teens in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,available this month
163,Affordable Pediatric Dentistry in San Diego for someone available this month.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,available this month
164,Looking for Pediatric Dentistry options in San Diego that are available this month.,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,available this month
165,What are the top-rated Pediatric Dentistry options in San Diego?,KidsFirst Dental Group,San Diego,Pediatric Dentistry,teens,available this month
166,Who is the best Sealants provider in San Diego?,KidsFirst Dental Group,San Diego,Sealants,kids,with payment plans
167,Where can I find Sealants for kids in San Diego?,KidsFirst Dental Group,San Diego,Sealants,kids,with payment plans
168,Affordable Sealants in San Diego for someone with payment plans.,KidsFirst Dental Group,San Diego,Sealants,kids,with payment plans
169,Looking for Sealants options in San Diego that are with payment plans.,KidsFirst Dental Group,San Diego,Sealants,kids,with payment plans
170,What are the top-rated Sealants options in San Diego?,KidsFirst Dental Group,San Diego,Sealants,kids,with payment plans
171,Who is the best Sealants provider in San Diego?,KidsFirst Dental Group,San Diego,Sealants,kids,affordable
172,Where can I find Sealants for kids in San Diego?,KidsFirst Dental Group,San Diego,Sealants,kids,affordable
173,Affordable Sealants in San Diego for someone affordable.,KidsFirst Dental Group,San Diego,Sealants,kids,affordable
174,Looking for Sealants options in San Diego that are affordable.,KidsFirst Dental Group,San Diego,Sealants,kids,affordable
175,What are the top-rated Sealants options in San Diego?,KidsFirst Dental Group,San Diego,Sealants,kids,affordable
176,Who is the best Sealants provider in San Diego?,KidsFirst Dental Group,San Diego,Sealants,kids,available this month
177,Where can I find Sealants for kids in San Diego?,KidsFirst Dental Group,San Diego,Sealants,kids,available this month
178,Affordable Sealants in San Diego for someone available this month.,KidsFirst Dental Group,San Diego,Sealants,kids,available this month
